Proposal_Type,Count,Success_Rate,Recommendation
Modulhaus Forecast: umsatz,1,0.75,Trend für Umsatz: steigend
Vorrat prüfen: vorrat,1,0.8,"Vorrat unter Soll, Lager auffüllen / Produktion anpassen"
Lead: 2025-11-22_L1,1,0.89,Contact & Follow-up
Lead: 2025-11-22_L2,1,0.84,Contact & Follow-up
Lead: 2025-11-22_L3,1,0.98,Contact & Follow-up
Lead: 2025-11-22_L4,1,0.76,Contact & Follow-up
Lead: 2025-11-22_L5,1,0.92,Contact & Follow-up
Lead: 2025-11-22_L6,1,0.8,Contact & Follow-up
Lead: 2025-11-22_L7,1,0.9,Contact & Follow-up
Lead: 2025-11-22_L8,1,0.77,Contact & Follow-up
Lead: 2025-11-22_L9,1,0.72,Contact & Follow-up
Lead: 2025-11-22_L10,1,0.9,Contact & Follow-up
Lead: 2025-11-22_L11,1,0.31,Info-Mail
Lead: 2025-11-22_L12,1,0.53,Info-Mail
Lead: 2025-11-22_L13,1,0.59,Info-Mail
Lead: 2025-11-22_L14,1,0.67,Info-Mail
Lead: 2025-11-22_L15,1,0.31,Info-Mail
Lead: 2025-11-22_L16,1,0.5,Info-Mail
Lead: 2025-11-22_L17,1,0.62,Info-Mail
Lead: 2025-11-22_L18,1,0.41,Info-Mail
Lead: 2025-11-22_L19,1,0.51,Info-Mail
Lead: 2025-11-22_L20,1,0.54,Info-Mail
Lead: 2025-11-22_L21,1,0.56,Info-Mail
Lead: 2025-11-22_L22,1,0.57,Info-Mail
Lead: 2025-11-22_L23,1,0.45,Info-Mail
Lead: 2025-11-22_L24,1,0.44,Info-Mail
Lead: 2025-11-22_L25,1,0.32,Info-Mail
Lead: 2025-11-22_L26,1,0.66,Info-Mail
Lead: 2025-11-22_L27,1,0.36,Info-Mail
Lead: 2025-11-22_L28,1,0.5,Info-Mail
Lead: 2025-11-22_L29,1,0.38,Info-Mail
Lead: 2025-11-22_L30,1,0.68,Info-Mail
Lead: 2025-11-22_L31,1,0.47,Info-Mail
Lead: 2025-11-22_L32,1,0.33,Info-Mail
Lead: 2025-11-22_L33,1,0.54,Info-Mail
Lead: 2025-11-22_L34,1,0.43,Info-Mail
Lead: 2025-11-22_L35,1,0.38,Info-Mail
Lead: 2025-11-22_L36,1,0.55,Info-Mail
Lead: 2025-11-22_L37,1,0.31,Info-Mail
Lead: 2025-11-22_L38,1,0.49,Info-Mail
Lead: 2025-11-22_L39,1,0.57,Info-Mail
Lead: 2025-11-22_L40,1,0.36,Info-Mail
Lead: 2025-11-22_L41,1,0.37,Info-Mail
Lead: 2025-11-22_L42,1,0.64,Info-Mail
Lead: 2025-11-22_L43,1,0.43,Info-Mail
Lead: 2025-11-22_L44,1,0.46,Info-Mail
Lead: 2025-11-22_L45,1,0.65,Info-Mail
Lead: 2025-11-22_L46,1,0.69,Info-Mail
Lead: 2025-11-22_L47,1,0.33,Info-Mail
Lead: 2025-11-22_L48,1,0.31,Info-Mail
Lead: 2025-11-22_L49,1,0.35,Info-Mail
Lead: 2025-11-22_L50,1,0.33,Info-Mail
